time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
73.89996450,0.01508706,0.00872924,0.00000334,155733.00000000,0.01766368,0.000000,0.000000
73.99981418,0.01509918,0.00985126,0.00000311,156940.00000000,0.01806893,0.000000,0.000000
74.09965710,0.01511467,0.00887038,0.00000367,158050.00000000,0.01892588,0.000000,0.000000
74.19951356,0.01512874,0.00986637,0.00000323,158996.00000000,0.01860349,0.000000,0.000000
74.29934372,0.01513948,0.00972191,0.00000286,159900.00000000,0.01780205,0.000000,0.000000
74.39998456,0.01515899,0.01034829,0.00000341,160771.00000000,0.02001719,0.000000,0.000000
74.49982346,0.01517112,0.00933218,0.00000298,161577.00000000,0.01820315,0.000000,0.000000
74.59966066,0.01519065,0.01002014,0.00000358,162421.00000000,0.02009328,0.000000,0.000000
74.69950304,0.01521422,0.01040746,0.00000363,163313.00000000,0.02115466,0.000000,0.000000
74.79934000,0.01523547,0.01008235,0.00000338,164131.00000000,0.02061025,0.000000,0.000000
74.89998266,0.01525278,0.01043728,0.00000311,165089.00000000,0.01965006,0.000000,0.000000
74.99981944,0.01527962,0.01258751,0.00000324,165564.00000000,0.02212324,0.000000,0.000000
75.09966790,0.01532392,0.01395345,0.00000421,166491.00000000,0.02666546,0.000000,0.000000
75.19949664,0.01534102,0.01052534,0.00000309,166745.00000000,0.01973571,0.000000,0.000000
75.29934110,0.01536709,0.01021869,0.00000386,167378.00000000,0.02209443,0.000000,0.000000
75.39997120,0.01538939,0.00928195,0.00000401,168252.00000000,0.02116439,0.000000,0.000000
75.49980966,0.01541248,0.00933974,0.00000388,168883.00000000,0.02141438,0.000000,0.000000
75.59964898,0.01543460,0.00960497,0.00000341,169419.00000000,0.02120839,0.000000,0.000000
75.69949486,0.01546043,0.01097638,0.00000362,169958.00000000,0.02222914,0.000000,0.000000
75.79935126,0.01547974,0.01034059,0.00000370,170776.00000000,0.02055668,0.000000,0.000000
75.89998032,0.01550047,0.01011503,0.00000360,170610.00000000,0.02097366,0.000000,0.000000
75.99981264,0.01552288,0.00942911,0.00000393,171402.00000000,0.02146237,0.000000,0.000000
76.09965136,0.01562644,0.03011841,0.00000427,172096.00000000,0.04317397,0.000000,0.000000
76.19949056,0.01564852,0.00903955,0.00000431,173256.00000000,0.02154223,0.000000,0.000000
76.29933808,0.01567190,0.00950850,0.00000407,174434.00000000,0.02193790,0.000000,0.000000
76.39999140,0.01569854,0.00986924,0.00000474,175562.00000000,0.02286425,0.000000,0.000000
76.49983582,0.01572994,0.00932010,0.00000387,157426.00000000,0.02420855,0.000000,0.000000
76.59968228,0.01574664,0.00868146,0.00000329,158166.00000000,0.02027324,0.000000,0.000000
76.69953484,0.01575444,0.00836874,0.00000321,158985.00000000,0.01787433,0.000000,0.000000
76.79937324,0.01577510,0.00931999,0.00000312,159736.00000000,0.02141611,0.000000,0.000000
76.89961184,0.01580006,0.01059917,0.00000377,160478.00000000,0.02263934,0.000000,0.000000
76.99945236,0.01581045,0.00799118,0.00000377,161204.00000000,0.01866833,0.000000,0.000000
77.09930270,0.01581444,0.00676928,0.00000312,161748.00000000,0.01691631,0.000000,0.000000
77.19995606,0.01583370,0.01002365,0.00000344,162595.00000000,0.02116870,0.000000,0.000000
77.29979566,0.01584002,0.00895243,0.00000301,163320.00000000,0.01759658,0.000000,0.000000
77.39962036,0.01584792,0.00739332,0.00000349,164107.00000000,0.01805062,0.000000,0.000000
77.49945858,0.01585449,0.00791443,0.00000321,165005.00000000,0.01769567,0.000000,0.000000
77.59929800,0.01585836,0.00852771,0.00000329,165643.00000000,0.01694546,0.000000,0.000000
77.69994664,0.01586495,0.01064472,0.00000265,166342.00000000,0.01772185,0.000000,0.000000
77.79979080,0.01586593,0.00844626,0.00000259,166108.00000000,0.01614286,0.000000,0.000000
77.89963650,0.01586898,0.00749133,0.00000316,167356.00000000,0.01673547,0.000000,0.000000
77.99947644,0.01587144,0.00970191,0.00000286,168601.00000000,0.01657232,0.000000,0.000000
78.09932416,0.01587884,0.01080385,0.00000319,169753.00000000,0.01799594,0.000000,0.000000
78.19996702,0.01590595,0.01087972,0.00000439,170281.00000000,0.02368695,0.000000,0.000000
78.29980356,0.01591979,0.00959159,0.00000431,171313.00000000,0.01990489,0.000000,0.000000
78.39964616,0.01593144,0.00955212,0.00000360,172547.00000000,0.01929801,0.000000,0.000000
78.49948836,0.01593668,0.00728947,0.00000360,174038.00000000,0.01745837,0.000000,0.000000
78.59934166,0.01594545,0.00867955,0.00000347,175713.00000000,0.01849641,0.000000,0.000000
78.69960096,0.01594935,0.00901414,0.00000318,175773.00000000,0.01708852,0.000000,0.000000
78.79944302,0.01594455,0.00635599,0.00000323,176726.00000000,0.01453725,0.000000,0.000000
78.89929126,0.01593968,0.00795376,0.00000285,177389.00000000,0.01450995,0.000000,0.000000
78.99992870,0.01593431,0.00569190,0.00000294,178629.00000000,0.01434921,0.000000,0.000000
79.09975506,0.01591896,0.00476016,0.00000290,178266.00000000,0.01137430,0.000000,0.000000
79.19958936,0.01590694,0.00576106,0.00000290,179366.00000000,0.01233787,0.000000,0.000000
79.29943150,0.01589185,0.00545902,0.00000274,180334.00000000,0.01139514,0.000000,0.000000
79.39966258,0.01588962,0.00839673,0.00000298,181193.00000000,0.01522230,0.000000,0.000000
79.49949150,0.01587941,0.00551580,0.00000324,182020.00000000,0.01281620,0.000000,0.000000
79.59932110,0.01586688,0.00545380,0.00000281,181155.00000000,0.01209663,0.000000,0.000000
79.69997762,0.01585543,0.00529001,0.00000307,181877.00000000,0.01239653,0.000000,0.000000
79.79982368,0.01584451,0.00597212,0.00000285,182859.00000000,0.01253623,0.000000,0.000000
79.89965928,0.01584088,0.00565149,0.00000332,183799.00000000,0.01473652,0.000000,0.000000
79.99948370,0.01583199,0.00610614,0.00000295,184771.00000000,0.01312259,0.000000,0.000000
80.09932404,0.01583263,0.00686288,0.00000348,184827.00000000,0.01602807,0.000000,0.000000
80.19995874,0.01582715,0.00558486,0.00000342,185410.00000000,0.01414329,0.000000,0.000000
80.29978730,0.01582357,0.00600443,0.00000308,185909.00000000,0.01472161,0.000000,0.000000
80.39962604,0.01581880,0.00557885,0.00000337,186683.00000000,0.01434617,0.000000,0.000000
80.49947858,0.01583934,0.00608570,0.00000319,187361.00000000,0.02220451,0.000000,0.000000
80.59932188,0.01582969,0.00529276,0.00000337,187823.00000000,0.01283051,0.000000,0.000000
80.69998006,0.01582712,0.00687929,0.00000350,188457.00000000,0.01502282,0.000000,0.000000
80.79981916,0.01582403,0.00634854,0.00000338,188438.00000000,0.01485779,0.000000,0.000000
80.89965592,0.01582022,0.00613070,0.00000352,189108.00000000,0.01462412,0.000000,0.000000
80.99948824,0.01581152,0.00615071,0.00000312,189862.00000000,0.01306968,0.000000,0.000000
81.09931748,0.01580628,0.00743941,0.00000286,190697.00000000,0.01415077,0.000000,0.000000
81.19996216,0.01580056,0.00727792,0.00000298,191379.00000000,0.01398742,0.000000,0.000000
81.29979050,0.01579880,0.00657375,0.00000376,192175.00000000,0.01523971,0.000000,0.000000
81.39962284,0.01582798,0.01884531,0.00000306,192725.00000000,0.02513565,0.000000,0.000000
81.49945470,0.01581781,0.00505289,0.00000336,193836.00000000,0.01256591,0.000000,0.000000
81.59929632,0.01581028,0.00585375,0.00000354,194954.00000000,0.01339198,0.000000,0.000000
81.69992690,0.01580509,0.00496349,0.00000430,196082.00000000,0.01413436,0.000000,0.000000
81.79977776,0.01580458,0.00611886,0.00000421,197371.00000000,0.01563777,0.000000,0.000000
81.89962078,0.01582323,0.01044408,0.00000430,198805.00000000,0.02186787,0.000000,0.000000
81.99946084,0.01583422,0.00797346,0.00000383,200242.00000000,0.01940380,0.000000,0.000000
82.09931260,0.01586500,0.01665559,0.00000378,201756.00000000,0.02590239,0.000000,0.000000
82.19995002,0.01587047,0.00891427,0.00000336,195852.00000000,0.01765886,0.000000,0.000000
82.29979682,0.01586947,0.00932546,0.00000255,196820.00000000,0.01554175,0.000000,0.000000
82.39965310,0.01587149,0.00846937,0.00000331,198398.00000000,0.01653570,0.000000,0.000000
82.49950446,0.01587206,0.00953974,0.00000296,198972.00000000,0.01605855,0.000000,0.000000
82.59934152,0.01587478,0.01041245,0.00000298,200509.00000000,0.01677675,0.000000,0.000000
82.69997754,0.01587097,0.00578456,0.00000373,202460.00000000,0.01460567,0.000000,0.000000
82.79980686,0.01586733,0.00691379,0.00000343,204585.00000000,0.01465495,0.000000,0.000000
82.89967086,0.01587458,0.00748230,0.00000363,206895.00000000,0.01829519,0.000000,0.000000
82.99951086,0.01588350,0.00879963,0.00000369,209476.00000000,0.01887087,0.000000,0.000000
83.09934448,0.01589396,0.00884202,0.00000383,212340.00000000,0.01941027,0.000000,0.000000
83.19998032,0.01590910,0.00952055,0.00000405,215328.00000000,0.02101037,0.000000,0.000000
83.29983764,0.01591929,0.00939781,0.00000397,218515.00000000,0.01936347,0.000000,0.000000
83.39967770,0.01594133,0.01060882,0.00000442,221815.00000000,0.02341482,0.000000,0.000000
83.49952364,0.01596624,0.01086035,0.00000442,225144.00000000,0.02443374,0.000000,0.000000
83.59937286,0.01598514,0.01184964,0.00000394,228550.00000000,0.02243141,0.000000,0.000000
83.69961270,0.01600822,0.01159825,0.00000442,231916.00000000,0.02390041,0.000000,0.000000
83.79945182,0.01603608,0.01222790,0.00000476,235216.00000000,0.02559341,0.000000,0.000000
83.89929490,0.01606291,0.01191815,0.00000446,238428.00000000,0.02529108,0.000000,0.000000
83.99993934,0.01616964,0.03990878,0.00000492,241694.00000000,0.05299090,0.000000,0.000000
84.09978006,0.01619809,0.01237192,0.00000489,238555.00000000,0.02604174,0.000000,0.000000
84.19960810,0.01624313,0.01247860,0.00000587,241552.00000000,0.03187283,0.000000,0.000000
84.29946046,0.01629907,0.01259197,0.00000482,244496.00000000,0.03576642,0.000000,0.000000
84.39929744,0.01633564,0.01391813,0.00000497,247247.00000000,0.02909696,0.000000,0.000000
84.49993926,0.01637066,0.01269926,0.00000514,250024.00000000,0.02862765,0.000000,0.000000
84.59979932,0.01640103,0.01236376,0.00000526,252457.00000000,0.02706055,0.000000,0.000000
84.69964072,0.01643262,0.01278776,0.00000531,254828.00000000,0.02755476,0.000000,0.000000
84.79949444,0.01646363,0.01348961,0.00000460,257069.00000000,0.02741066,0.000000,0.000000
